id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code,condition_id
4377,289,2/26/2014 12:27,Market at Sansome,55,2/26/2014 12:32,Temporary Transbay Terminal (Howard at Beale),56,471,Subscriber,94965,94
4600,291,2/26/2014 14:33,San Pedro Square,63,2/26/2014 14:38,San Jose City Hall,57,57,Subscriber,95138,94
4959,292,2/26/2014 19:18,Townsend at 7th,64,2/26/2014 19:23,San Francisco Caltrain 2 (330 Townsend),61,361,Customer,94109,94
4828,293,2/26/2014 17:41,Palo Alto Caltrain Station,58,2/26/2014 17:46,University and Emerson,59,160,Subscriber,94107,94
4450,298,2/26/2014 13:01,Embarcadero at Vallejo,59,2/26/2014 13:06,Davis at Jackson,57,598,Subscriber,94109,94
4558,298,2/26/2014 13:57,Embarcadero at Bryant,55,2/26/2014 14:02,Harry Bridges Plaza (Ferry Building),60,275,Subscriber,94109,94
4657,298,2/26/2014 15:30,5th at Howard,57,2/26/2014 15:35,5th at Howard,57,631,Subscriber,94123,94
4796,305,2/26/2014 17:22,Civic Center BART (7th at Market),63,2/26/2014 17:27,Market at 4th,58,332,Subscriber,94110,94
4331,307,1/31/2014 12:12,University and Emerson,59,1/31/2014 12:17,Cowper at University,62,144,Subscriber,94025,68
4280,309,1/31/2014 11:53,San Francisco City Hall,58,1/31/2014 11:58,South Van Ness at Market,64,636,Subscriber,94117,68
4290,309,1/31/2014 11:58,Powell Street BART,55,1/31/2014 12:03,Market at 10th,60,496,Customer,94107,68
4876,309,1/31/2014 18:09,2nd at Townsend,61,1/31/2014 18:14,San Francisco Caltrain 2 (330 Townsend),57,565,Customer,95126,68
4766,315,1/31/2014 17:05,San Mateo County Center,57,1/31/2014 17:10,San Mateo County Center,57,227,Subscriber,94402,68
4871,316,8/29/2013 18:06,5th at Howard,57,8/29/2013 18:11,San Francisco Caltrain (Townsend at 4th),64,348,Customer,94107,97
5078,318,8/29/2013 21:53,Civic Center BART (7th at Market),63,8/29/2013 21:59,Powell Street BART,57,611,Subscriber,94115,97
4744,319,8/29/2013 16:52,5th at Howard,57,8/29/2013 16:57,San Francisco Caltrain (Townsend at 4th),59,379,Customer,95032,97
4376,320,8/29/2013 12:27,Clay at Battery,56,8/29/2013 12:32,Harry Bridges Plaza (Ferry Building),56,534,Subscriber,94115,97
4392,323,1/21/2014 12:34,Harry Bridges Plaza (Ferry Building),55,1/21/2014 12:39,Embarcadero at Vallejo,59,428,Subscriber,94123,58
4602,323,1/21/2014 14:34,Commercial at Montgomery,61,1/21/2014 14:39,Davis at Jackson,62,326,Customer,94111,58
5100,323,11/27/2013 22:50,Steuart at Market,63,11/27/2013 22:56,Spear at Folsom,59,317,Subscriber,94105,3
4448,324,11/27/2013 13:01,Embarcadero at Vallejo,59,11/27/2013 13:06,Davis at Jackson,56,621,Subscriber,94121,3
4722,327,11/27/2013 16:32,San Salvador at 1st,56,11/27/2013 16:37,San Jose Civic Center,64,81,Subscriber,95112,3
4850,327,11/27/2013 17:53,Cowper at University,60,11/27/2013 17:59,University and Emerson,59,95,Subscriber,94107,3
4615,332,11/27/2013 14:55,Market at 4th,58,11/27/2013 15:01,Howard at 2nd,63,606,Subscriber,94109,3
4582,335,11/27/2013 14:14,2nd at Folsom,62,11/27/2013 14:20,2nd at Folsom,62,342,Subscriber,94123,3
4640,335,11/27/2013 15:19,2nd at South Park,64,11/27/2013 15:24,San Francisco Caltrain (Townsend at 4th),59,438,Subscriber,94110,3
4805,336,11/27/2013 17:26,Santa Clara at Almaden,56,11/27/2013 17:32,San Jose City Hall,57,26,Subscriber,95066,3
4715,337,1/21/2014 16:23,San Francisco Caltrain (Townsend at 4th),58,1/21/2014 16:29,Townsend at 7th,64,599,Customer,94109, 1
4941,337,1/21/2014 19:05,Embarcadero at Vallejo,59,1/21/2014 19:11,Harry Bridges Plaza (Ferry Building),55,327,Subscriber,94103,58
4454,340,1/21/2014 13:05,Market at Sansome,55,1/21/2014 13:10,Washington at Kearney,60,590,Subscriber,94107,58
4647,340,8/30/2013 15:26,Golden Gate at Polk,59,8/30/2013 15:32,Powell Street BART,59,432,Subscriber,94102,98
4750,342,8/30/2013 16:57,Yerba Buena Center of the Arts (3rd @ Howard),64,8/30/2013 17:03,Powell Street BART,57,549,Subscriber,94109,98
4393,343,8/30/2013 12:34,Commercial at Montgomery,56,8/30/2013 12:40,Market at Sansome,55,319,Subscriber,94103,98
4822,343,8/30/2013 17:37,San Jose City Hall,59,8/30/2013 17:43,San Pedro Square,61,196,Subscriber,95138,98
4300,346,8/30/2013 12:03,Post at Kearney,61,8/30/2013 12:09,Harry Bridges Plaza (Ferry Building),55,603,Customer,94105,98
4968,346,8/30/2013 19:35,Embarcadero at Bryant,55,8/30/2013 19:41,Spear at Folsom,57,512,Subscriber,94105,98
4890,347,8/30/2013 18:13,Davis at Jackson,58,8/30/2013 18:19,Beale at Market,56,326,Subscriber,94123,98
5075,348,8/30/2013 21:47,South Van Ness at Market,59,8/30/2013 21:52,Civic Center BART (7th at Market),63,598,Subscriber,94115,98
4570,351,1/17/2014 14:06,Harry Bridges Plaza (Ferry Building),55,1/17/2014 14:12,Washington at Kearney,64,275,Subscriber,94109,54
4278,353,1/17/2014 11:52,Harry Bridges Plaza (Ferry Building),55,1/17/2014 11:58,Commercial at Montgomery,57,596,Subscriber,94123,54
4399,355,1/17/2014 12:39,Redwood City Caltrain Station,59,1/17/2014 12:45,Redwood City Medical Center,58,74,Subscriber,94041,54
4660,355,1/17/2014 15:32,Powell at Post (Union Square),61,1/17/2014 15:38,Post at Kearney,62,408,Customer,94102,54
4745,360,1/17/2014 16:52,Embarcadero at Folsom,55,1/17/2014 16:58,Temporary Transbay Terminal (Howard at Beale),55,271,Subscriber,94133,54
4955,360,1/17/2014 19:15,Golden Gate at Polk,59,1/17/2014 19:21,Market at 10th,62,498,Subscriber,94608,54
4785,361,1/17/2014 17:13,Yerba Buena Center of the Arts (3rd @ Howard),61,1/17/2014 17:19,San Francisco Caltrain (Townsend at 4th),59,562,Subscriber,94401,54
4730,362,1/17/2014 16:37,Townsend at 7th,64,1/17/2014 16:43,San Francisco Caltrain (Townsend at 4th),59,615,Subscriber,94112,54
4786,362,1/17/2014 17:14,Market at 10th,63,1/17/2014 17:20,Golden Gate at Polk,59,351,Subscriber,94597,54
4447,363,1/17/2014 13:00,Steuart at Market,64,1/17/2014 13:06,Spear at Folsom,59,341,Subscriber,94112,54
5032,363,2/27/2014 20:33,San Jose Civic Center,62,2/27/2014 20:39,San Pedro Square,61,603,Customer,95123,95
4312,369,2/27/2014 12:06,Commercial at Montgomery,55,2/27/2014 12:12,Mechanics Plaza (Market at Battery),60,378,Subscriber,94117,95
4695,369,2/27/2014 16:05,Townsend at 7th,64,2/27/2014 16:11,San Francisco Caltrain (Townsend at 4th),59,431,Customer,95118,95
4700,369,2/27/2014 16:12,Davis at Jackson,58,2/27/2014 16:18,Grant Avenue at Columbus Avenue,63,510,Customer,23160,95
4875,370,2/27/2014 18:08,Embarcadero at Sansome,60,2/27/2014 18:14,Davis at Jackson,63,421,Subscriber,94110,95
4659,371,2/27/2014 15:32,Powell at Post (Union Square),61,2/27/2014 15:38,Post at Kearney,57,538,Customer,94102,95
4998,374,2/27/2014 19:57,Harry Bridges Plaza (Ferry Building),57,2/27/2014 20:04,Spear at Folsom,59,276,Subscriber,94105,95
4496,375,2/27/2014 13:19,Townsend at 7th,64,2/27/2014 13:25,San Francisco Caltrain (Townsend at 4th),59,413,Subscriber,94107,95
4716,375,2/27/2014 16:24,San Francisco Caltrain (Townsend at 4th),59,2/27/2014 16:30,Townsend at 7th,61,382,Customer,95118,95
4527,376,2/27/2014 13:39,Yerba Buena Center of the Arts (3rd @ Howard),60,2/27/2014 13:45,Powell Street BART,59,522,Subscriber,94610,95
4612,376,2/27/2014 14:46,St James Park,63,2/27/2014 14:53,Japantown,59,188,Subscriber,95112,95
4204,378,2/27/2014 11:06,San Jose City Hall,60,2/27/2014 11:13,San Jose City Hall,60,28,Subscriber,95136,95
4731,378,2/27/2014 16:36,Beale at Market,56,2/27/2014 16:43,Commercial at Montgomery,55,324,Customer,94118,95
4883,378,8/31/2013 18:12,Market at 4th,58,8/31/2013 18:18,Howard at 2nd,63,332,Subscriber,94114,99
4517,379,8/31/2013 13:34,San Salvador at 1st,58,8/31/2013 13:41,San Jose City Hall,60,661,Subscriber,95112,99
4429,380,8/31/2013 12:53,Embarcadero at Sansome,60,8/31/2013 13:00,Embarcadero at Vallejo,59,491,Subscriber,94121,99
4699,380,8/31/2013 16:12,Davis at Jackson,62,8/31/2013 16:18,Grant Avenue at Columbus Avenue,63,443,Customer,17190,99
4434,384,8/31/2013 12:55,Yerba Buena Center of the Arts (3rd @ Howard),60,8/31/2013 13:01,San Francisco Caltrain 2 (330 Townsend),59,555,Subscriber,94117,99
4408,385,8/31/2013 12:41,5th at Howard,57,8/31/2013 12:48,Powell at Post (Union Square),61,538,Customer,37206,99
4961,387,8/31/2013 19:21,Temporary Transbay Terminal (Howard at Beale),55,8/31/2013 19:28,5th at Howard,57,471,Subscriber,94103,99
5099,387,8/31/2013 22:35,San Jose Civic Center,63,8/31/2013 22:41,San Jose Diridon Caltrain Station,62,635,Subscriber,95126,99
4725,388,8/31/2013 16:34,Embarcadero at Bryant,55,8/31/2013 16:41,Steuart at Market,55,277,Subscriber,94109,99
4347,389,8/31/2013 12:15,San Jose City Hall,60,8/31/2013 12:21,San Pedro Square,63,146,Subscriber,95112,99
5095,390,8/31/2013 22:15,Market at Sansome,55,8/31/2013 22:21,Steuart at Market,64,501,Subscriber,94115,99
5102,392,8/31/2013 22:53,San Francisco Caltrain (Townsend at 4th),59,8/31/2013 23:00,Howard at 2nd,63,348,Customer,37206,99
4414,393,12/1/2013 12:44,San Francisco Caltrain 2 (330 Townsend),59,12/1/2013 12:50,San Francisco Caltrain 2 (330 Townsend),60,259,Customer,91127,7
5050,396,12/1/2013 21:01,Powell Street BART,59,12/1/2013 21:07,Civic Center BART (7th at Market),63,402,Subscriber,94103,7
4334,398,12/1/2013 12:12,Market at Sansome,55,12/1/2013 12:19,Harry Bridges Plaza (Ferry Building),60,428,Customer,94709,7
4385,398,12/1/2013 12:30,Civic Center BART (7th at Market),63,12/1/2013 12:37,Golden Gate at Polk,59,397,Subscriber,94109,7
4981,399,12/1/2013 19:41,South Van Ness at Market,56,12/1/2013 19:47,Market at 10th,63,632,Subscriber,94110,7
5062,402,12/1/2013 21:27,Post at Kearney,57,12/1/2013 21:34,Howard at 2nd,63,616,Subscriber,94105,7
4970,404,12/1/2013 19:36,5th at Howard,57,12/1/2013 19:43,Powell at Post (Union Square),61,320,Subscriber,94109,7
4458,405,12/1/2013 13:05,Powell at Post (Union Square),61,12/1/2013 13:12,Powell at Post (Union Square),61,458,Subscriber,94102,7
4879,405,12/1/2013 18:10,Post at Kearney,57,12/1/2013 18:17,Harry Bridges Plaza (Ferry Building),60,394,Subscriber,94102,7
4999,405,12/1/2013 19:58,Harry Bridges Plaza (Ferry Building),60,12/1/2013 20:04,Spear at Folsom,59,282,Subscriber,94105,7
4751,406,12/1/2013 16:57,San Francisco City Hall,58,12/1/2013 17:04,Powell Street BART,59,462,Subscriber,94704,7
4996,410,12/1/2013 19:57,Market at Sansome,55,12/1/2013 20:04,Commercial at Montgomery,55,441,Customer,85400,7
4616,412,12/1/2013 14:56,St James Park,63,12/1/2013 15:02,Japantown,61,101,Customer,95020,7
4741,412,12/1/2013 16:45,Adobe on Almaden,62,12/1/2013 16:52,San Jose City Hall,63,639,Subscriber,95112,7
4910,412,12/1/2013 18:37,Cowper at University,57,12/1/2013 18:43,Palo Alto Caltrain Station,64,20,Customer,94303,7
4655,413,9/01/2013 15:29,Grant Avenue at Columbus Avenue,63,9/01/2013 15:36,Washington at Kearney,56,474,Customer,94965,100
4542,416,9/01/2013 13:49,Commercial at Montgomery,55,9/01/2013 13:56,Davis at Jackson,62,399,Customer,94111,100
4348,418,9/01/2013 12:14,Temporary Transbay Terminal (Howard at Beale),55,9/01/2013 12:21,Market at Sansome,64,628,Subscriber,94965,100
4435,418,9/01/2013 12:55,Yerba Buena Center of the Arts (3rd @ Howard),60,9/01/2013 13:02,Washington at Kearney,56,548,Customer,2142,100
4465,419,9/01/2013 13:11,2nd at South Park,64,9/01/2013 13:18,Post at Kearney,57,498,Subscriber,94117,100
4810,419,9/01/2013 17:30,Market at 4th,58,9/01/2013 17:37,Civic Center BART (7th at Market),63,546,Subscriber,94122,100
4641,420,12/25/2013 15:19,Powell Street BART,59,12/25/2013 15:26,San Francisco Caltrain (Townsend at 4th),59,522,Subscriber,94102, 2
4571,421,12/25/2013 14:07,Davis at Jackson,62,12/25/2013 14:14,Commercial at Montgomery,55,621,Customer,94111,31
5077,422,12/25/2013 21:47,Market at Sansome,55,12/25/2013 21:54,Davis at Jackson,62,619,Customer,17190,31
4309,423,12/25/2013 12:04,Steuart at Market,64,12/25/2013 12:11,Embarcadero at Folsom,61,340,Subscriber,94127,31
4953,423,12/25/2013 19:14,Clay at Battery,61,12/25/2013 19:21,Market at 4th,58,606,Subscriber,94110,31
5067,423,12/25/2013 21:38,San Francisco Caltrain (Townsend at 4th),59,12/25/2013 21:45,San Francisco Caltrain 2 (330 Townsend),59,535,Subscriber,94133,31
4830,424,12/25/2013 17:42,Spear at Folsom,59,12/25/2013 17:49,Yerba Buena Center of the Arts (3rd @ Howard),60,334,Customer,94133,31
